,Id,Variable_Type,Hi,HiHi,Value,Timestamp
1227,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4296875,2022-05-28 15:26:06.911000+00:00
1042,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1656251,2022-05-28 15:26:05.732000+00:00
1228,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4453125,2022-05-28 15:26:04.573000+00:00
1043,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2625,2022-05-28 15:26:03.430000+00:00
1044,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1656251,2022-05-28 15:26:02.234000+00:00
1229,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:26:02.234000+00:00
1230,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4453125,2022-05-28 15:26:01.120000+00:00
1045,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:25:58.810000+00:00
1231,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:57.678000+00:00
1046,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:25:57.678000+00:00
1232,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:25:56.517000+00:00
1047,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1625001,2022-05-28 15:25:56.517000+00:00
1048,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1125,2022-05-28 15:25:54.166000+00:00
1233,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3125,2022-05-28 15:25:54.166000+00:00
1234,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:25:53.023000+00:00
1049,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:25:53.023000+00:00
1235,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:25:51.883000+00:00
